,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
29,1,0,1,1,0,1,1,0,0,0,1,2,2,1,0,1,0,2,0,2,1,2,0,2,1,2,0,1,1,1,2,1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
30,2,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,2,0,1,0,2,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,1,2,1,1,1,1,1,0,1,0,1,1,0,1,2,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,1,1,0,1,0
33,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,1,1,3,1,3,1,1,1,2,1,0,1,4,0,0,0,0,1,0,0,0,0
34,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,1,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,2,0,0,0
36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,2,0,0,0
37,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,3,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
38,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1,1,1,1,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0
40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,1,0,0,1,1,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
